Rank,Country
1,"  North Korea"
2,"  South Korea"
3,"  Vietnam"
4,"  India"
5,"  Russia"
6,"  China"
7,"  Brazil"
8,"  United States"
9,"  Pakistan"
10,"  Egypt"
11,"  Indonesia"
12,"  Iran"
13,"  Ukraine"
14,"  Turkey"
15,"  Thailand"
16,"  Israel"
17,"  Mexico"
18,"  Ethiopia"
19,"  Algeria"
20,"  Colombia"
21,"  Iraq"
22,"  Belarus"
23,"  Malaysia"
24,"  Greece"
25,"  Morocco"
26,"  Azerbaijan"
27,"  Sri Lanka"
28,"  Philippines"
29,"  Italy"
30,"  Venezuela"
31,"  Peru"
32,"  France"
33,"  Japan"
34,"  Singapore"
35,"  Eritrea"
36,"  Saudi Arabia"
37,"  Finland"
38,"  Armenia"
39,"  Bangladesh"
40,"  Spain"
41,"  Nigeria"
42,"  Switzerland"
43,"  Poland"
44,"  Germany"
45,"  United Kingdom"
46,"  Myanmar"
47,"  Paraguay"
48,"  Cambodia"
49,"  Romania"
50,"  Jordan"
51,"  Afghanistan"
52,"  Sudan"
53,"  Ecuador"
54,"  Mongolia"
55,"  Chile"
56,"  Austria"
57,"  Laos"
58,"  Democratic Republic of the Congo"
59,"  Angola"
60,"  Cuba"
61,"  Argentina"
62,"  Nepal"
63,"  Tanzania"
64,"  Guatemala"
65,"  Canada"
66,"  South Sudan"
67,"  Niger"
68,"  South Africa"
69,"  Honduras"
70,"  Serbia"
71,"  Lebanon"
72,"  Australia"
73,"  Bhutan"
74,"  Portugal"
75,"  Cyprus"
76,"  Dominican Republic"
77,"  Bolivia"
78,"  Kazakhstan"
79,"  Estonia"
80,"  Uzbekistan"
81,"  Norway"
82,"  Moldova"
83,"  United Arab Emirates"
84,"  Sweden"
85,"  Denmark"
86,"  Turkmenistan"
87,"  Uganda"
88,"  Hungary"
89,"  Zimbabwe"
90,"  Kuwait"
91,"  Tunisia"
92,"  Lithuania"
93,"  Oman"
94,"  Netherlands"
95,"  Chad"
96,"  Mali"
97,"  Yemen"
98,"  Bulgaria"
99,"  Tajikistan"
100,"  Rwanda"
101,"  Cameroon"
102,"  Burundi"
103,"  Belgium"
104,"  Kenya"
105,"  Panama"
106,"  Côte d'Ivoire"
107,"  Czech Republic"
108,"  Georgia"
109,"  Somalia"
110,"  Latvia"
111,"  Uruguay"
112,"  Madagascar"
113,"  Zambia"
114,"  Qatar"
115,"  Mauritania"
116,"  North Macedonia"
117,"  Kyrgyzstan"
118,"  Bahrain"
119,"  Ghana"
120,"  Croatia"
121,"  Togo"
122,"  Senegal"
123,"  Namibia"
124,"  Benin"
125,"  Bosnia and Herzegovina"
126,"  Slovakia"
127,"  El Salvador"
128,"  Malawi"
129,"  Ireland"
130,"  Republic of the Congo"
131,"  Djibouti"
132,"  Guinea"
133,"  Nicaragua"
134,"  New Zealand"
135,"  Burkina Faso"
136,"  Mozambique"
137,"  Central African Republic"
138,"  Fiji"
139,"  Costa Rica"
140,"  Montenegro"
141,"  Haiti"
142,"  Botswana"
143,"  Jamaica"
144,"  Sierra Leone"
145,"  Brunei"
146,"  Albania"
147,"  Slovenia"
148,"  Gabon"
149,"  Guinea-Bissau"
150,"  Gambia"
151,"  Guyana"
152,"  Trinidad and Tobago"
153,"  Papua New Guinea"
154,"  Maldives"
155,"  Belize"
156,"  Eswatini"
157,"  Mauritius"
158,"  Timor-Leste"
159,"  Liberia"
160,"  Lesotho"
161,"  Malta"
162,"  Suriname"
163,"  Equatorial Guinea"
164,"  Bahamas"
165,"  Cape Verde"
166,"  Luxembourg"
167,"  Barbados"
168,"  Comoros"
169,"  Tonga"
170,"  San Marino"
171,"  Seychelles"
172,"  São Tomé and Príncipe"
173,"  Saint Kitts and Nevis"
174,"  Antigua and Barbuda"
175,"  Iceland"
176,"  Monaco"
