Rank,Country
1, China
2, Thailand
3, Malaysia
4, United States
5, Indonesia
6, Singapore
7, Myanmar
8, Canada
9, Australia
10, Philippines
11, South Korea
12, Japan
13, France
14, Vietnam
15, United Kingdom
16, Cambodia
17, Italy
18, South Africa
19, New Zealand
20, Brazil
21, Spain
22, Laos
23, United Arab Emirates
24, Germany
25, Argentina
26, Saudi Arabia
27, Nigeria
28, Bangladesh
29, Netherlands
30, Panama
31, Pakistan
32, Jamaica
33, Kenya
34, Madagascar
35, Brunei
36, Sweden
37, Angola
38, Ethiopia
39, Ghana
40, Tanzania
41, Portugal
42, Mexico
43, Democratic Republic of Congo
44, Egypt
45, Guinea
46, Mauritius
47, Uganda
48, Greece
49, Papua New Guinea
50,  Switzerland
51, Russia
52, Ireland
53, Hungary
54, Chile
55, Finland
56, Austria
57, Venezuela
58, Turkey
59, Denmark
60, Botswana
61, Dominican Republic
62, Nicaragua
63, Serbia
64, Belgium
65, Peru
66, Norway
67, Zambia
68, Zimbabwe
69, Israel
70, North Korea
71, Costa Rica
72, India
73, Mongolia
74, Poland
75, Fiji
76, Suriname
77, Czech Republic
78, Cameroon
79, Qatar
80, Equatorial Guinea
81, Senegal
82, Romania
83, Ivory Coast
84, Republic of Congo
85, East Timor
86, Luxembourg
87, Trinidad & Tobago
88, Turkmenistan
89, Algeria
90, Sri Lanka
91, Kazakhstan
92, Cape Verde
93, Gabon
94, Mali
95, Mozambique
96, Namibia
97, Rwanda
98, Iran
99, Tonga
100, Lesotho
101, Guyana
102, Slovakia
103, Ukraine
104, Colombia
105, Benin
106, Malawi
107, Morocco
108, South Sudan
109, Tunisia
110, Kyrgyzstan
111, Belize
112, Sierra Leone
113, Sudan
114, Uzbekistan
115,   Nepal
116, Cyprus
117, Cuba
118, Slovenia
119, Bulgaria
120, Malta
121, Palau
122, Liberia
123, Seychelles
124, Togo
125, Bahamas
126, Iceland
127, Samoa
128, Burkina Faso
129, Chad
130, Eswatini
131, Mauritania
132, Niger
133, Croatia
134, Micronesia
135, Burundi
136, Djibouti
137, Central African Republic
138, Gambia
139, Libya
140, Haiti
141, Eritrea
142, Guinea-Bissau
143, São Tomé and Príncipe
144, Albania
145, Nauru
146, Comoros
147, Latvia
148, Estonia
149, Somalia
150, Barbados
151, Saint Lucia
152, Marshall Islands
153, Lithuania
