Rank,Country
1, Mongolia
2, Australia
3, Namibia
4, Iceland
5, Suriname
6, Guyana
7, Libya
8, Botswana
9, Canada
10, Mauritania
11, Kazakhstan
12, Russia
13, Central African Republic
14, Gabon
15, Bolivia
16, Norway
17, Chad
18, Turkmenistan
19, Saudi Arabia
20, Paraguay
21, Oman
22, Argentina
23, Finland
24, Belize
25, Uruguay
26, South Sudan
27, Congo
28, Mali
29, New Zealand
30, Algeria
31, Niger
32, Bhutan
33, Papua New Guinea
34, Brazil
35, Sweden
36, Sudan
37, Vanuatu
38, Peru
39, Chile
40, Solomon Islands
41, Eritrea
42, Zambia
43, Angola
44, Somalia
45, Latvia
46, Venezuela
47, Estonia
48, Laos
49, United States
50, Kyrgyzstan
51, Palau
52, Bahamas
53, Zimbabwe
54, Mozambique
55, Belarus
56, Lithuania
57, Montenegro
58, DR Congo
59, Colombia
60, Djibouti
61, Fiji
62, South Africa
63, Morocco
64, Madagascar
65, Georgia
66, Iran
67, Nicaragua
68, Liberia
69, Guinea
70, Panama
71, Bulgaria
72, Bosnia and Herzegovina
73, Cameroon
74, Afghanistan
75, Ukraine
76, Equatorial Guinea
77, Mexico
78, Croatia
79, North Macedonia
80, Eswatini
81, Ecuador
82, Tajikistan
83, Ireland
84, Tanzania
85, Lesotho
86, Yemen
87, Samoa
88, Guinea-Bissau
89, Greece
90, Tunisia
91, Romania
92, Uzbekistan
93, Myanmar
94, Serbia
95, Burkina Faso
96, Dominica
97, Brunei
98, Cuba
99, Moldova
100, Timor-Leste
101, Senegal
102, Honduras
103, Spain
104, Kenya
105, Costa Rica
106, Ivory Coast
107, Cambodia
108, Albania
109, Armenia
110, Slovenia
111, Iraq
112, Hungary
113, Malaysia
114, Austria
115, Portugal
116, Turkey
117, Slovakia
118, Egypt
119, Ethiopia
120, Sierra Leone
121, France
122, Azerbaijan
123, Poland
124, Benin
125, Cape Verde
126, Jordan
127, Syria
128, Czech Republic
129, Thailand
130, Tonga
131, Cyprus
132, Denmark
133, Indonesia
134, Ghana
135, China
136, United Arab Emirates
137, Micronesia
138, Kiribati
139, Guatemala
140, Andorra
141, Togo
142, Saint Kitts and Nevis
143, Italy
144, Nepal
145, Marshall Islands
146, Antigua and Barbuda
147, North Korea
148, Switzerland
149, Malawi
150, Dominican Republic
151, Germany
152, São Tomé and Príncipe
153, Uganda
154, Liechtenstein
155, Nigeria
156, Saint Vincent and the Grenadines
157, Luxembourg
158, Jamaica
159, Qatar
160, Gambia
161, Kuwait
162, Seychelles
163, United Kingdom
164, Pakistan
165, Trinidad and Tobago
166, Saint Lucia
167, Vietnam
168, El Salvador
169, Tuvalu
170, Japan
171, Grenada
172, Sri Lanka
173, Belgium
174, Philippines
175, Haiti
176, Comoros
177, Israel
178, India
179, South Korea
180, Netherlands
181, Burundi
182, San Marino
183, Lebanon
184, Rwanda
185, Nauru
186, Mauritius
187, Barbados
188, Bangladesh
189, Malta
190, Maldives
191, Bahrain
192, Singapore
193, Monaco
