Rank,Country
1, Iceland
2, Norway
3, Switzerland
4, Denmark
5, Germany
6, Sweden
7, Australia
8, Netherlands
9, Belgium
10, Ireland
11, Finland
12, Singapore
13, United Kingdom
14, United Arab Emirates
15, Canada
16, Liechtenstein
17, New Zealand
18, United States
19, South Korea
20, Slovenia
21, Austria
22, Japan
23, Malta
24, Luxembourg
25, France
26, Israel
27, Spain
28, Czechia
29, Italy
30, San Marino
31, Andorra
32, Cyprus
33, Greece
34, Poland
35, Estonia
36, Saudi Arabia
37, Bahrain
38, Lithuania
39, Portugal
40, Croatia
41, Latvia
42, Qatar
43, Slovakia
44, Chile
45, Hungary
46, Argentina
47, Montenegro
48, Uruguay
49, Oman
50, Turkey
51, Kuwait
52, Antigua and Barbuda
53, Seychelles
54, Bulgaria
55, Romania
56, Georgia
57, Saint Kitts and Nevis
58, Panama
59, Brunei
60, Kazakhstan
61, Costa Rica
62, Serbia
63, Russia
64, Belarus
65, Bahamas
66, Malaysia
67, North Macedonia
68, Barbados
69, Armenia
70, Albania
71, Trinidad and Tobago
72, Mauritius
73, Bosnia and Herzegovina
74, Iran
75, Saint Vincent and the Grenadines
76, Thailand
77, China
78, Peru
79, Grenada
80, Azerbaijan
81, Mexico
82, Colombia
83, Brazil
84, Palau
85, Moldova
86, Ukraine
87, Ecuador
88, Dominican Republic
89, Guyana
90, Sri Lanka
91, Tonga
92, Maldives
93, Vietnam
94, Turkmenistan
95, Algeria
96, Cuba
97, Dominica
98, Paraguay
99, Egypt
100, Jordan
101, Lebanon
102, Saint Lucia
103, Mongolia
104, Tunisia
105, South Africa
106, Uzbekistan
107, Bolivia
108, Gabon
109, Marshall Islands
110, Botswana
111, Fiji
112, Indonesia
113, Suriname
114, Belize
115, Libya
116, Jamaica
117, Kyrgyzstan
118, Philippines
119, Morocco
120, Venezuela
121, Samoa
122, Nicaragua
123, Nauru
124, Bhutan
125, Eswatini
126, Iraq
127, Tajikistan
128, Tuvalu
129, Bangladesh
130, India
131, El Salvador
132, Equatorial Guinea
133, Cape Verde
134, Namibia
135, Guatemala
136, Republic of the Congo
137, Honduras
138, Kiribati
139, São Tomé and Príncipe
140, Timor-Leste
141, Ghana
142, Kenya
143, Nepal
144, Vanuatu
145, Laos
146, Angola
147, Micronesia
148, Myanmar
149, Cambodia
150, Comoros
151, Zimbabwe
152, Zambia
153, Cameroon
154, Solomon Islands
155, Ivory Coast
156, Uganda
157, Rwanda
158, Papua New Guinea
159, Togo
160, Syria
161, Mauritania
162, Nigeria
163, Tanzania
164, Haiti
165, Lesotho
166, Pakistan
167, Senegal
168, Gambia
169, Democratic Republic of the Congo
170, Malawi
171, Benin
172, Guinea-Bissau
173, Djibouti
174, Sudan
175, Liberia
176, Eritrea
177, Guinea
178, Ethiopia
179, Afghanistan
180, Mozambique
181, Madagascar
182, Yemen
183, Sierra Leone
184, Burkina Faso
185, Burundi
186, Mali
187, Niger
188, Chad
189, Central African Republic
190, Somalia
191, South Sudan
