,,
1,  Niger,"15,2"
2,  Angola,"16,2"
3,  Ouganda,"16,2"
4,  Mali,"16,4"
5,  Tchad,"16,7"
6,  République démocratique du Congo,"16,9"
7,  Bénin,"17,2"
8,  Mozambique,"17,3"
9,  Burundi,"18,4"
10,  Guinée-Bissau,"18,4"
11,  Zambie,"18,4"
12,  Burkina Faso,"18,7"
13,  Soudan du Sud,"18,7"
14,  Cameroun,"18,9"
15,  Somalie,"19,1"
16,  Tanzanie,"19,1"
17,  Sénégal,"19,2"
18,  Nigeria,"19,3"
19,  Soudan,"19,3"
20,  Guinée,"19,4"
21,  Sierra Leone,"19,4"
22,  Liberia,"19,9"
23,  Afghanistan,20
24,  Gambie,"20,2"
25,  Malawi,"20,3"
26,  République centrafricaine,"20,4"
27,  Éthiopie,"20,4"
28,  Timor oriental,"20,6"
29,  République du Congo,"20,7"
30,  Togo,"20,7"
31,  Rwanda,"20,8"
32,  Sao Tomé-et-Principe,"20,8"
33,  Côte d'Ivoire,"21,2"
34,  Kenya,"21,2"
35,  Zimbabwe,"21,2"
36,  Érythrée,"21,3"
37,  Madagascar,"21,3"
38,  Ghana,"21,4"
39,  Papouasie-Nouvelle-Guinée,"21,7"
40,  Gabon,22
41,  Yémen,22
42,  Guinée équatoriale,"22,1"
43,  Mauritanie,"22,1"
44,  Irak,"22,4"
45,  Comores,"22,7"
46,  Namibie,"22,8"
47,  Tadjikistan,"22,8"
48,  Pakistan,"22,9"
49,  Lesotho,"23,9"
50,  Syrie,"24,1"
51,  Égypte,"24,4"
52,  Eswatini,"24,6"
53,  Vanuatu,"24,6"
54,  Guatemala,"24,8"
55,  Haïti,25
56,  Jordanie,25
57,  Îles Salomon,"25,2"
58,  Laos,"25,4"
59,  Îles Marshall,"25,5"
60,  Honduras,"25,7"
61,  Philippines,"25,7"
62,  Tonga,"25,9"
63,  Libye,"26,2"
64,  Djibouti,"26,3"
65,  Bolivie,"26,6"
66,  Belize,"26,8"
67,  Botswana,"27,1"
68,  Kiribati,"27,3"
69,  Oman,"27,3"
70,  Samoa,"27,4"
71,  Népal,"27,6"
72,  Nauru,"27,8"
73,  Tuvalu,"27,8"
74,  Cambodge,"27,9"
75,  Équateur,28
76,  États fédérés de Micronésie,"28,2"
77,  Guyana,"28,3"
78,  Kirghizistan,"28,3"
79,  Cap-Vert,"28,8"
80,  Ouzbékistan,"28,9"
81,  Nicaragua,29
82,  Algérie,"29,1"
83,  République dominicaine,"29,2"
84,  Bangladesh,"29,6"
85,  Salvador,"29,7"
86,  Inde,"29,8"
87,  Israël,"30,1"
88,  Pérou,"30,2"
89,  Koweït,"30,3"
90,  Afrique du Sud,"30,4"
91,  Maroc,"30,6"
92,  Bahamas,"30,7"
93,  Bhoutan,"30,7"
94,  Birmanie,"30,8"
95,  Mexique,"30,8"
96,  Jamaïque,"30,9"
97,  Venezuela,31
98,  Turkménistan,"31,2"
99,  Indonésie,"31,5"
100,  Mongolie,"31,5"
101,  Panama,"31,5"
102,  Fidji,"31,6"
103,  Malaisie,"31,8"
104,  Paraguay,"31,8"
105,  Kazakhstan,"31,9"
106,  Maldives,"31,9"
107,  Suriname,32
108,  Brunei,"32,3"
109,  Arabie saoudite,"32,4"
110,  Colombie,"32,7"
111,  Vietnam,"33,1"
112,  Argentine,"33,3"
113,  Bahreïn,"33,4"
114,  Iran,"33,8"
115,  Antigua-et-Barbuda,"33,9"
116,  Turquie,34
117,  Sri Lanka,"34,1"
118,  Azerbaïdjan,"34,3"
119,  Qatar,"34,3"
120,  Tunisie,"34,4"
121,  Brésil,"35,1"
122,  Palaos,"35,3"
123,  Grenade,"35,4"
124,  Costa Rica,"35,5"
125,  Émirats arabes unis,"35,8"
126,  Corée du Nord,"35,9"
127,  Albanie,"36,3"
128,  Liban,"36,3"
129,  Uruguay,"36,5"
130,  Chili,"36,9"
131,  Dominique,37
132,  Saint-Vincent-et-les-Grenadines,"37,6"
133,  Nouvelle-Zélande,"37,9"
134,  Islande,38
135,  Australie,"38,1"
136,  Géorgie,"38,3"
137,  Trinité-et-Tobago,"38,5"
138,  Saint-Christophe-et-Niévès,"38,6"
139,  Seychelles,"38,7"
140,  Arménie,"38,9"
141,  États-Unis,"38,9"
142,  Singapour,"39,4"
143,  Chypre,"39,5"
144,  Maurice,"39,6"
145,  Sainte-Lucie,"39,7"
146,  Luxembourg,"39,9"
147,  Moldavie,"39,9"
148,  Chine,"40,2"
149,  Irlande,"40,2"
150,  Macédoine du Nord,"40,5"
151,  Norvège,"40,8"
152,  Royaume-Uni,"40,8"
153,  Monténégro,"41,1"
154,  Suède,"41,1"
155,  Barbade,"41,4"
156,  Thaïlande,"41,5"
157,  Russie,"41,9"
158,  Belgique,42
159,  Biélorussie,"42,1"
160,  Danemark,"42,2"
161,  Pays-Bas,"42,2"
162,  Canada,"42,6"
163,  Cuba,"42,6"
164,  France,"42,6"
165,  Slovaquie,"42,8"
