Rank,Country
1, United States
2, Great Britain
3, Germany
4, France
5, China
6, Italy
7, Sweden
8, Australia
9, Japan
10, Canada
11, Norway
12, Russia
13, Hungary
14, Netherlands
15, Finland
16, South Korea
17, Switzerland
18, Austria
19, Poland
20, Romania
21, Cuba
22, Bulgaria
23, Denmark
24, Spain
25, Belgium
26, Brazil
27, New Zealand
28, Ukraine
29, Greece
30, Kenya
31, Turkey
32, Czech Republic
33, Belarus
34, South Africa
35, Jamaica
36, Iran
37, Kazakhstan
38, Argentina
39, Mexico
40, North Korea
41, Ethiopia
42, Croatia
43, Azerbaijan
44, Slovenia
45, Uzbekistan
46, Georgia
47, Estonia
48, Slovakia
49, Ireland
50, Thailand
51, Egypt
52, India
53, Indonesia
54, Colombia
55, Portugal
56, Mongolia
57, Latvia
58, Lithuania
59, Serbia
60, Nigeria
61, Morocco
62, Armenia
63, Algeria
64, Israel
65, Trinidad and Tobago
66, Venezuela
67, Tunisia
68, Philippines
69, Bahamas
70, Dominican Republic
71, Malaysia
72, Chile
73, Kyrgyzstan
74, Uganda
75, Pakistan
76, Moldova
77, Ecuador
78, Uruguay
79, Liechtenstein
80, Qatar
81, Bahrain
82, Zimbabwe
83, Tajikistan
84, Cameroon
85, Singapore
86, Kosovo
87, Namibia
88, Grenada
89, Ivory Coast
90, Vietnam
91, Ghana
92, Peru
93, Luxembourg
94, Botswana
95, Jordan
96, Saudi Arabia
97, Syria
98, Fiji
99, Panama
100, Costa Rica
101, Lebanon
102, Iceland
103, Kuwait
104, Zambia
105, Guatemala
106, San Marino
107, Burundi
108, Saint Lucia
109, United Arab Emirates
110, Mozambique
111, Niger
112, Suriname
113, Albania
114," North Macedonia"
115, Tanzania
116, Afghanistan
117, Haiti
118, Sri Lanka
119, Cyprus
120, Bermuda
121, Cape Verde
122, Turkmenistan
123, Dominica
124, Eritrea
125, Montenegro
126, Djibouti
127, Burkina Faso
128, Mauritius
129, Samoa
130, Gabon
131, Tonga
132, Barbados
133, Sudan
134, Togo
135, Paraguay
136, Iraq
137, Guyana
138, Senegal
139, Monaco
140, Andorra
141, Bolivia
142, Malta
143, Myanmar
144, Nepal
145, Bosnia and Herzegovina
146, Madagascar
147, Mali
148, Belize
149, Chad
150, Republic of the Congo
151, Honduras
152, Liberia
153, Nicaragua
154, Benin
155, El Salvador
156," Eswatini"
157, Guinea
158, Lesotho
159, Sierra Leone
160, Antigua and Barbuda
161, Central African Republic
162, Democratic Republic of the Congo
163, Libya
164, Malawi
165, Papua New Guinea
166, Angola
167, Bangladesh
168, Bhutan
169, Cambodia
170, Equatorial Guinea
171, The Gambia
172, Laos
173, Mauritania
174, Oman
175, Rwanda
176, Seychelles
177, Solomon Islands
178, Somalia
179, Maldives
180, Saint Vincent and the Grenadines
181, Vanuatu
182, Timor-Leste
183, Yemen
184, Comoros
185, Guinea-Bissau
186, Nauru
187, Saint Kitts and Nevis
188, São Tomé and Príncipe
189, Brunei
190, Federated States of Micronesia
191, Palau
192, Kiribati
193, Marshall Islands
194, Tuvalu
195, South Sudan
