Rank,Country,Date
1,  Chine,-221
2,  Saint-Marin,3 septembre 301[notes 2]
3,  France,481
4,  Croatie,688
5,  Maroc,789
6,  Allemagne,01/08/0843
7,  Danemark,958
8,  Pologne,966
9,  Turquie,1037
10,  Éthiopie,1135
11,  Portugal,26/07/1139
12,  Albanie,1190
13,  Suisse,1er août 1291
14,  Espagne,1479
15,  Russie,1480
16,  Iran,1501
17,  Suède,06/06/1523
18,  Japon,1592
19,  Pays-Bas,30/01/1648
20,  Royaume-Uni,1er mai 1707
21,  Afghanistan,1709
22,  Oman,1744
23,  Népal,21/12/1768
24,  États-Unis,04/07/1776
25,  Haïti,1er janvier 1804
26,  Paraguay,14/05/1811
27,  Liechtenstein,09/10/1813
28,  Mexique,06/11/1813
29,  Andorre,10/03/1814
30,  Argentine,09/07/1816
31,  Madagascar,27/10/1817
32,  Colombie,07/08/1819
33,  Pérou,09/12/1824
34,  Bolivie,06/08/1825
35,  Brésil,29/08/1825
36,  Uruguay,27/08/1828
37,  Venezuela,13/01/1830
38,  Équateur,13/05/1830
39,  Belgique,04/10/1830
40,  Grèce,04/03/1832
41,  Honduras,26/10/1838
42,  Nicaragua,05/11/1838
43,  Costa Rica,15/11/1838
44,  Guatemala,17/04/1839
45,  Salvador,02/02/1841
46,  Chili,25/04/1844
47,  Liberia,26/07/1847
48,  Italie,17/03/1861
49,  Monaco,02/12/1861
50,  République dominicaine,03/03/1865
51,  Canada,1er juillet 1867
52,  Roumanie,13/07/1878
53,  Luxembourg,23/11/1890
54,  Cuba,10/12/1898
55,  Australie,1er janvier 1901
56,  Panama,03/11/1903
57,  Norvège,07/06/1905
58,  Nouvelle-Zélande,26/09/1907
59,  Bulgarie,05/10/1908
60,  Afrique du Sud,31/05/1910
61,  Mongolie,29/12/1911
62,  Irlande,24/04/1916
63,  Finlande,03/01/1918
64,  Hongrie,31/10/1918
65,  Islande,1er décembre 1918
66,  Arabie saoudite,20/05/1927
67,  Irak,03/10/1932
68,  Liban,22/11/1943
69,  Jordanie,25/05/1946
70,  Philippines,04/07/1946
71,  Pakistan,14/08/1947
