Rank,Country,Rate
1, Lesotho,"28,7"
2, Eswatini,"27,2"
3, Guyana,"24,8"
4, Uruguay,"24,8"
5, Suriname,"22,3"
6, South Africa,"22,3"
7, Lithuania,"22,1"
8, Russia,"21,4"
9, Ukraine,"21,2"
10, South Korea,"20,6"
11, Micronesia,"19,8"
12, Solomon Islands,"19,6"
13, Slovenia,"18,9"
14, Mongolia,"18,5"
15, Belgium,"18,4"
16, Kiribati,"17,5"
17, Zimbabwe,"17,3"
18, France,"16,6"
19, Thailand,"16,6"
20, Hungary,"16,5"
21, Vanuatu,"15,7"
22, Croatia,"15,7"
23, Belarus,"15,6"
24, United States,"15,6"
25, Latvia,"15,2"
26, Serbia,"15,1"
27, Cape Verde,"14,9"
28, Estonia,"14,9"
29, Sri Lanka,"14,7"
30, Japan,"14,7"
31, Kazakhstan,"14,6"
32, Finland,"14,6"
33, Austria,"14,5"
34, Moldova,"14,1"
35, Switzerland,14
36, Sweden,"13,8"
37, Cuba,"13,8"
38, Poland,"13,7"
39, Czech Republic,"13,3"
40, Trinidad and Tobago,"13,3"
41, Eritrea,"13,2"
42, Norway,"13,2"
43, Australia,"13,1"
44, Germany,"12,9"
45, India,"12,6"
46, Samoa,12
47, Iceland,"11,9"
48, New Zealand,"11,9"
49, Netherlands,"11,5"
50, Portugal,"11,5"
51, Montenegro,"11,3"
52, Mozambique,"10,6"
53, Mauritius,"10,5"
54, Denmark,"10,5"
55, Nepal,"10,1"
56, Slovakia,"9,9"
57, Romania,"9,6"
58, United Kingdom,"9,5"
59, Bulgaria,"9,5"
60, Canada,"9,4"
61, Togo,"9,3"
62, North Korea,"9,3"
63, Central African Republic,"9,2"
64, Bosnia and Herzegovina,9
65, China,"8,9"
66, DR Congo,"8,8"
67, Rwanda,"8,7"
68, Spain,"8,7"
69, Namibia,"8,6"
70, Venezuela,"8,6"
71, Cameroon,"8,5"
72, Burkina Faso,"8,5"
73, Ireland,"8,5"
74, Botswana,"8,4"
75, Fiji,"8,3"
76, Uzbekistan,"8,3"
77, Luxembourg,"8,2"
78, Angola,"8,1"
79, Singapore,"8,1"
80, Costa Rica,"8,1"
81, Somalia,8
82, Djibouti,8
83, Argentina,"7,9"
84, South Sudan,"7,9"
85, Haiti,"7,8"
86, Guinea-Bissau,"7,7"
87, Burundi,"7,7"
88, Chile,"7,7"
89, Malawi,"7,6"
90, Brazil,"7,6"
91, Ecuador,"7,6"
92, El Salvador,"7,6"
93, Ivory Coast,"7,4"
94, Gabon,"7,3"
95, Vietnam,"7,3"
96, Zambia,"7,1"
97, Benin,"7,1"
98, Equatorial Guinea,7
99, Mexico,7
100, Italy,7
101, Senegal,"6,8"
102, Kyrgyzstan,"6,8"
103, Turkmenistan,"6,8"
104, Congo,"6,7"
105, Malta,"6,5"
106, Paraguay,"6,4"
107, Sierra Leone,"6,1"
108, Ethiopia,"6,1"
109, Madagascar,"6,1"
110, Comoros,6
111, Liberia,6
112, North Macedonia,"5,8"
113, Malaysia,"5,7"
114, Pakistan,"5,6"
115, Uganda,"5,5"
116, Chad,"5,3"
117, Ghana,"5,3"
118, Saint Lucia,"5,3"
119, Tanzania,"5,1"
120, Georgia,"5,1"
121, Nigeria,5
122, Libya,5
123, Colombia,5
124, Guatemala,"4,9"
125, Bhutan,"4,9"
126, Guinea,"4,8"
127, Gambia,"4,8"
128, Bahrain,"4,7"
129, Qatar,"4,7"
130, Tonga,"4,7"
131, Greece,"4,7"
132, Kenya,"4,6"
133, Laos,"4,6"
134, Niger,"4,5"
135, Cambodia,"4,5"
136, Israel,"4,4"
137, Seychelles,"4,3"
138, Mali,"4,2"
139, Belize,"4,2"
140, Yemen,"4,2"
141, Bolivia,"4,2"
142, Dominican Republic,"4,2"
143, Nicaragua,"4,2"
144, Iran,"4,1"
145, Afghanistan,"3,6"
146, Timor-Leste,"3,6"
147, Philippines,"3,5"
148, Barbados,"3,5"
149, Bahamas,"3,3"
150, Panama,"3,3"
151, Sudan,"3,2"
152, Iraq,3
153, Cyprus,3
154, Honduras,3
155, Brunei,3
156, Morocco,"2,9"
157, Myanmar,"2,9"
158, Bangladesh,"2,8"
159, Albania,"2,8"
160, Mauritania,"2,7"
161, Turkey,"2,7"
162, Armenia,"2,5"
163, Tajikistan,"2,4"
164, Kuwait,"2,3"
165, Algeria,"2,2"
166, Papua New Guinea,"1,8"
167, Tunisia,"1,8"
168, United Arab Emirates,"1,7"
169, Jamaica,"1,7"
170, Azerbaijan,"1,6"
171, Maldives,"1,5"
172, Peru,"1,5"
173, Antigua and Barbuda,"1,5"
174, Grenada,"1,3"
175, Indonesia,"1,2"
176, Saudi Arabia,"0,9"
177, Oman,"0,9"
178, São Tomé and Príncipe,"0,9"
179, Lebanon,"0,7"
180, Egypt,"0,6"
181, Syria,"0,6"
182, Jordan,"0,6"
183, Saint Vincent and the Grenadines,"0,4"
