Rank,Country
1, China 
2, Japan 
3, Russia 
4, DR Congo 
5, Indonesia 
6, Peru 
7, Egypt 
8, South Korea 
9, Mexico
10, United Kingdom 
11, Bangladesh 
12, Iran 
13, Thailand
14, Vietnam
15, Iraq 
16, Saudi Arabia
17, Colombia 
18, Chile 
19, Singapore
20, Turkey 
21, Afghanistan 
22, Kenya
23, Jordan
24, Algeria 
25, Germany 
26, Spain 
27, Argentina 
28, Ethiopia 
29, Brazil 
30, Guatemala
31, South Africa
32, Ukraine 
33, North Korea 
34, Uzbekistan 
35, Ecuador
36, Cameroon
37, Italy 
38, Zambia
39, Sudan 
40, Yemen
41, Angola
42, Burkina Faso
43, Somalia
44, Ghana
45, Azerbaijan
46, Cambodia
47, Venezuela
48, France 
49, Cuba
50, Zimbabwe
51, Syria
52, Belarus
53, Austria
54, Poland
55, Philippines 
56, Mali
57, Malaysia 
58, Romania 
59, Hungary 
60, Congo
61, Serbia 
62, Uganda
63, Guinea
64, Kazakhstan 
65, Mongolia
66, Honduras
67, Senegal
68, Czech Republic 
69, Niger 
70, Uruguay
71, Bulgaria 
72, Oman
73, Madagascar
74, Nigeria
75, Georgia
76, Mauritania 
77, Qatar 
78, Libya
79, Myanmar
80, Rwanda
81, Mozambique
82, Dominican Republic
83, Armenia 
84, Panama
85, Kyrgyzstan
86, Sierra Leone
87, Nicaragua
88, Canada 
89, Pakistan 
90, Liberia
91, United Arab Emirates
92, Malawi
93, Haiti
94, Sweden 
95, Eritrea
96, Israel 
97, Laos
98, Chad
99, Netherlands 
100, Central African Republic
101, Tajikistan 
102, Nepal 
103, Togo
104, Turkmenistan 
105, Moldova
106, Croatia 
107, Gabon 
108, Norway 
109, United States 
110, Jamaica
111, Finland 
112, Tunisia
113, Denmark 
114, Greece 
115, Latvia 
116, Djibouti
117, Ireland 
118, Morocco
119, Lithuania
120, El Salvador
121, Albania
122, North Macedonia
123, South Sudan 
124, Paraguay
125, Portugal 
126, Guinea-Bissau
127, Slovakia
128, Estonia 
129, Australia 
130, Namibia
131, Tanzania
132, Papua New Guinea 
133, Ivory Coast
134, Lebanon
135, Bolivia
136, Costa Rica
137, Lesotho
138, Cyprus
139, Slovenia 
140, Timor-Leste
141, Bosnia and Herzegovina
142, Bahamas
143, Botswana
144, Benin
145, India 
146, Suriname
147, New Zealand 
148, Maldives 
149, Bahrain
150, Montenegro 
151, Belgium
152, Cape Verde
153, Mauritius
154, Luxembourg 
155, Burundi
156, Switzerland 
157, Iceland 
158, Guyana
159, Bhutan
160, Comoros
161, Barbados
162, Sri Lanka
163, Brunei
164, Eswatini
165, Fiji
166, Solomon Islands
167, São Tomé and Príncipe
168, Kiribati
169, Kuwait
170, Vanuatu
171, Samoa
172, Monaco
173, Trinidad and Tobago
174, Grenada
175, Gambia
176, Marshall Islands
177, Tonga
178, Seychelles
179, Andorra
180, Antigua and Barbuda 
181, Belize
182, Saint Lucia
183, Dominica
184, Saint Kitts and Nevis
185, Saint Vincent and the Grenadines
186, Micronesia
187, Tuvalu
188, Malta
189, Liechtenstein
190, San Marino
191, Equatorial Guinea 
192, Nauru
193, Palau
