Rank,Country
1, Singapore
2, Monaco
3, Bahamas
4, Marshall Islands
5, Tuvalu
6, Kiribati
7, Djibouti
8, Qatar 
9, Mongolia
10, Maldives 
11, Armenia 
12, Suriname
13, Barbados
14, Uruguay
15, Jordan
16, Iceland 
17, Estonia 
18, Chile 
19, Latvia 
20, São Tomé and Príncipe
21, Georgia
22, Montenegro 
23, Peru 
24, Gabon 
25, Saint Kitts and Nevis
26, Congo
27, Andorra
28, Oman
29, Cape Verde
30, Grenada
31, Eritrea
32, Cyprus
33, Tonga
34, Mauritania 
35, North Macedonia
36, Moldova
37, Panama
38, Seychelles
39, Guinea-Bissau
40, Antigua and Barbuda 
41, Jamaica
42, Serbia 
43, Brunei
44, Azerbaijan
45, Austria
46, Saudi Arabia
47, Luxembourg 
48, Timor-Leste
49, Belarus
50, Lithuania
51, Dominica
52, Liberia
53, Albania
54, Bulgaria 
55, Croatia 
56, Samoa
57, Cuba
58, South Korea 
59, Iraq 
60, Hungary 
61, Libya
62, Namibia
63, Guatemala
64, Kyrgyzstan
65, Central African Republic
66, Vanuatu
67, Ecuador
68, Nicaragua
69, Liechtenstein
70, Guyana
71, Bhutan
72, Lesotho
73, Zambia
74, Somalia
75, Honduras
76, Colombia 
77, Cambodia
78, Bahrain
79, Slovenia 
80, Comoros
81, United Kingdom 
82, Zimbabwe
83, DR Congo 
84, Solomon Islands
85, Czech Republic 
86, Norway 
87, Sierra Leone
88, Laos
89, Turkmenistan 
90, Saint Vincent and the Grenadines
91, Guinea
92, San Marino
93, Finland 
94, Ireland 
95, Thailand
96, Afghanistan 
97, Japan 
98, Mauritius
99, North Korea 
100, Burkina Faso
101, Saint Lucia
102, Denmark 
103, United Arab Emirates
104, Botswana
105, Israel 
106, Cameroon
107, Fiji
108, Dominican Republic
109, Iran 
110, Syria
111, Togo
112, Sweden 
113, Egypt 
114, Russia 
115, El Salvador
116, Algeria 
117, Romania 
118, Tajikistan 
119, Haiti
120, Senegal
121, Uzbekistan 
122, Rwanda
123, Bosnia and Herzegovina
124, Vietnam
125, Kenya
126, Mali
127, Slovakia
128, Venezuela
129, Eswatini
130, Kazakhstan 
131, Yemen
132, Paraguay
133, Angola
134, Mexico
135, Ghana
136, Spain 
137, Argentina 
138, Turkey 
139, Ukraine 
140, Costa Rica
141, Lebanon
142, Greece 
143, Nauru
144, Sudan 
145, Micronesia
146, Bangladesh 
147, Malaysia 
148, Niger 
149, Chad
150, Netherlands 
151, Tunisia
152, Belize
153, Malawi
154, Portugal 
155, South Africa
156, Poland
157, South Sudan 
158, Italy 
159, Germany 
160, Madagascar
161, New Zealand 
162, Indonesia 
163, Uganda
164, Papua New Guinea 
165, Mozambique
166, France 
167, Bolivia
168, Nepal 
169, Canada 
170, Ethiopia 
171, Trinidad and Tobago
172, Myanmar
173, Benin
174, Australia 
175, Philippines 
176, Morocco
177, Belgium
178, China 
179, Switzerland 
180, Brazil 
181, Ivory Coast
182, Kuwait
183, Gambia
184, Burundi
185, Malta
186, Nigeria
187, Tanzania
188, Sri Lanka
189, Pakistan 
190, United States 
191, Equatorial Guinea 
192, India 
193, Palau
