Rank,Country
1,Spain
2,Argentina
3,France
4,Great-Britain
5,Brazil
6,Portugal
7,Netherlands
8,Morocco
9,Belgium
10,Germany
11,Croatia
12,Senegal
13,Italy
14,Colombia
15,USA
16,Mexico
17,Uruguay
18,Switzerland
19,Japan
20,IR Iran
21,Denmark
22,Korea Republic
23,Ecuador
24,Austria
25,Türkiye
26,Nigeria
27,Australia
28,Algeria
29,Canada
30,Ukraine
31,Egypt
32,Norway
33,Panama
34,Poland
35,Russia
36,Côte d'Ivoire
37,Serbia
38,Paraguay
39,Hungary
40,Sweden
41,Czechia
42,Slovakia
43,Cameroon
44,Greece
45,Tunisia
46,Congo DR
47,Romania
48,Venezuela
49,Costa Rica
50,Uzbekistan
51,Peru
52,Mali
53,Chile
54,Qatar
55,Slovenia
56,Iraq
57,Republic of Ireland
58,South Africa
59,Saudi Arabia
60,Burkina Faso
61,Albania
62,Jordan
63,Honduras
64,North Macedonia
65,Cabo Verde
66,United Arab Emirates
67,Jamaica
68,Bosnia and Herzegovina
69,Ghana
70,Georgia
71,Iceland
72,Finland
73,Bolivia
74,Israel
75,Oman
76,Guinea
77,Montenegro
78,Haiti
79,Syria
80,New Zealand
81,Gabon
82,Bulgaria
83,Uganda
84,Angola
85,Bahrain
86,Zambia
87,Benin
88,China PR
89,Guatemala
90,Thailand
91,Trinidad and Tobago
92,Belarus
93,El Salvador
94,Tajikistan
95,Mozambique
96,Luxembourg
97,Kyrgyz Republic
98,Madagascar
99,Armenia
100,Comoros
101,Equatorial Guinea
102,Vietnam
103,Lebanon
104,Tanzania
105,Niger
106,Libya
107,Kenya
108,Kazakhstan
109,Mauritania
110,The Gambia
111,Sudan
112,Namibia
113,Korea DPR
114,Sierra Leone
115,Malaysia
116,Indonesia
117,Suriname
118,Togo
119,Malawi
120,Azerbaijan
121,Cyprus
122,Estonia
123,Rwanda
124,Nicaragua
125,Zimbabwe
126,Guinea-Bissau
127,Congo
128,Kuwait
129,Philippines
130,Turkmenistan
131,Central African Republic
132,Latvia
133,Liberia
134,India
135,Dominican Republic
136,Lesotho
137,Botswana
138,Burundi
139,Lithuania
140,Ethiopia
141,Singapore
142,Yemen
143,Guyana
144,Solomon Islands
145,St Kitts and Nevis
146,Fiji
147,Moldova
148,Eswatini
149,Vanuatu
150,Malta
151,Afghanistan
152,Myanmar
153,Grenada
154,Antigua and Barbuda
155,Cuba
156,St Lucia
157,South Sudan
158,Papua New Guinea
159,St Vincent and the Grenadines
160,Andorra
161,Maldives
162,Mauritius
163,Chad
164,Barbados
165,Cambodia
166,Bangladesh
167,Belize
168,Nepal
169,Dominica
170,Mongolia
171,Samoa
172,Brunei Darussalam
173,São Tomé and Príncipe
174,Laos
175,Bhutan
176,Sri Lanka
177,Djibouti
178,Tonga
179,Timor-Leste
180,Pakistan
181,Somalia
182,Seychelles
183,Liechtenstein
184,Bahamas
185,San Marino
186,Erithrea
187,Monaco
