Rank,Country
1, Finland
2, Denmark
3, Iceland
4, Sweden
5, Netherlands
6, Costa Rica
7, Norway
8, Israel
9, Luxembourg
10, Mexico
11, Australia
12, New Zealand
13,  Switzerland
14, Belgium
15, Ireland
16, Lithuania
17, Austria
18, Canada
19, Slovenia
20, Czechia
21, United Arab Emirates
22, Germany
23, United Kingdom
24, United States
25, Belize
26, Poland
27, Uruguay
28, Kuwait
29, Serbia
30, Saudi Arabia
31, France
32, Singapore
33, Romania
34, Brazil
35, El Salvador
36, Spain
37, Estonia
38, Italy
39, Panama
40, Argentina
41, Kazakhstan
42, Guatemala
43, Chile
44, Vietnam
45, Nicaragua
46, Malta
47, Thailand
48, Slovakia
49, Latvia
50, Oman
51, Uzbekistan
52, Paraguay
53, Japan
54, Bosnia and Herzegovina
55, Philippines
56, South Korea
57, Bahrain
58, Portugal
59, Colombia
60, Ecuador
61, Honduras
62, Malaysia
63, Peru
64, Russia
65, Cyprus
66, China
67, Hungary
68, Trinidad and Tobago
69, Montenegro
70, Croatia
71, Jamaica
72, Bolivia
73, Kyrgyzstan
74, Dominican Republic
75, Mongolia
76, Mauritius
77, Libya
78, Republic of Moldova
79, Greece
80, Venezuela
81, Indonesia
82, Algeria
83, Bulgaria
84, North Macedonia
85, Armenia
86, Albania
87, Tajikistan
88, Georgia
89, Nepal
90, Laos
91, Turkey
92, South Africa
93, Mozambique
94, Gabon
95, Ivory Coast
96, Iran
97, Congo
98, Iraq
99, Guinea
100, Namibia
101, Cameroon
102, Nigeria
103, Azerbaijan
104, Senegal
105, Pakistan
106, Niger
107, Ukraine
108, Morocco
109, Tunisia
110, Mauritania
111, Kenya
112, Uganda
113, Gambia
114, India
115, Chad
116, Burkina Faso
117, Benin
118, Somalia
119, Mali
120, Cambodia
121, Ghana
122, Myanmar
123, Togo
124, Jordan
125, Liberia
126, Madagascar
127, Zambia
128, Ethiopia
129, Sri Lanka
130, Bangladesh
131, Egypt
132, Tanzania
133, Eswatini
134, Lesotho
135, Comoros
136, Yemen
137, DR Congo
138, Botswana
139, Zimbabwe
140, Malawi
141, Lebanon
142, Sierra Leone
143, Afghanistan
