Rank,Country
1,Tonga
2,Nauru
3,Tuvalu
4,Samoa
5,The Bahamas
6,Marshall Islands
7,Saint Kitts and Nevis
8,Kiribati
9,Micronesia
10,Kuwait
11,Qatar
12,Egypt
13,United States
14,Palau
15,Belize
16,Saudi Arabia
17,Chile
18,Georgia
19,Romania
20,Barbados
21,Iraq
22,Bahrain
23,Hungary
24,Libya
25,Mexico
26,Panama
27,Argentina
28,Croatia
29,Jordan
30,Uruguay
31,Malta
32,Turkey
33,New Zealand
34,Jamaica
35,Antigua and Barbuda
36,Saint Lucia
37,Fiji
38,Greece
39,Saint Vincent and the Grenadines
40,Nicaragua
41,Brunei
42,Paraguay
43,Costa Rica
44,Australia
45,United Arab Emirates
46,Dominica
47,Poland
48,Czech Republic
49,Syria
50,Lithuania
51,Lebanon
52,Ireland
53,North Macedonia
54,Grenada
55,Slovakia
56,Seychelles
57,Oman
58,South Africa
59,El Salvador
60,Latvia
61,Ukraine
62,Trinidad and Tobago
63,Dominican Republic
64,Suriname
65,Brazil
66,United Kingdom
67,Honduras
68,Uzbekistan
69,Tunisia
70,Greenland
71,Russia
72,Guyana
73,Armenia
74,Bolivia
75,Azerbaijan
76,Canada
77,Eswatini
78,Peru
79,Portugal
80,Ecuador
81,Estonia
82,Albania
83,Belarus
84,Serbia
85,Moldova
86,Bosnia and Herzegovina
87,Iran
88,Guatemala
89,Cyprus
90,Kyrgyzstan
91,Algeria
92,Bulgaria
93,Germany
94,Mongolia
95,Colombia
96,Finland
97,Cuba
98,Israel
99,Venezuela
100,Iceland
101,Malaysia
102,Slovenia
103,Morocco
104,Belgium
105,Pakistan
106,Solomon Islands
107,Italy
108,Montenegro
109,Mauritania
110,Tajikistan
111,Andorra
112,Luxembourg
113,Turkmenistan
114,Papua New Guinea
115,Gabon
115,Vanuatu
117,Norway
118,Mauritius
119,Kazakhstan
120,Lesotho
121,Spain
122,Afghanistan
123,Maldives
124,Botswana
125,Equatorial Guinea
126,Austria
127,Netherlands
128,Sweden
129,Liberia
130,Comoros
131,Sudan
132,Namibia
133,Cape Verde
134,São Tomé and Príncipe
135,Thailand
136,Denmark
137,Switzerland
138,Singapore
139,Cameroon
140,The Gambia
141,Somalia
142,Zimbabwe
143,Ghana
144,Bhutan
145,Yemen
146,Indonesia
147,Tanzania
148,Kenya
149,France
150,Djibouti
151,Nigeria
152,Sri Lanka
153,Ivory Coast
154,Angola
155,Haiti
156,Togo
157,Guinea-Bissau
158,Mali
159,Benin
160,Zambia
161,Mozambique
162,Philippines
163,Senegal
164,Guinea
165,China
166,South Sudan
167,Republic of the Congo
168,Laos
169,Central African Republic
170,Myanmar
171,India
172,Uganda
173,South Korea
174,Nepal
175,Sierra Leone
176,Malawi
177,Burkina Faso
178,DR Congo
179,Chad
180,Niger
181,Burundi
182,Bangladesh
183,Japan
184,Eritrea
185,Rwanda
186,Cambodia
187,Madagascar
188,Ethiopia
189,East Timor
190,Vietnam
191,North Korea
