Rank,Country
1,Monaco
2,Nauru
3,Tuvalu
4,San Marino
5,Liechtenstein
6,Marshall Islands
7,Saint Kitts and Nevis
8,Maldives
9,Malta
10,Grenada
11,Saint Vincent and the Grenadines
12,Barbados
13,Antigua and Barbuda
14,Seychelles
15,Palau
16,Andorra
17,Saint Lucia
18,Federated States of Micronesia
19,Singapore
20,Tonga
21,Dominica
22,Bahrain
23,Kiribati
24,São Tomé and Príncipe
25,Comoros
26,Mauritius
27,Luxembourg
28,Samoa
29,Cape Verde
30,Trinidad and Tobago
31,Brunei
32,Palestine
33,Cyprus
34,Lebanon
35,Jamaica
36,The Gambia
37,Qatar
38,Vanuatu
39,The Bahamas
40,Montenegro
41,Timor-Leste
42,Eswatini
43,Kuwait
44,Fiji
45,Slovenia
46,Israel
47,El Salvador
48,Belize
49,Djibouti
50,North Macedonia
51,Rwanda
52,Haiti
53,Burundi
54,Equatorial Guinea
55,Solomon Islands
56,Albania
57,Armenia
58,Lesotho
59,Belgium
60,Moldova
61,Guinea-Bissau
62,Taiwan
63,Bhutan
64,Switzerland
65,Kingdom of the Netherlands
66,Estonia
67,Dominican Republic
68,Slovakia
69,Costa Rica
70,Bosnia and Herzegovina
71,Croatia
72,Togo
73,Latvia
74,Latvia
75,Lithuania
76,Sri Lanka
77,Georgia
78,Ireland
79,Sierra Leone
80,Panama
81,Czech Republic
82,United Arab Emirates
83,Austria
84,Azerbaijan
85,Serbia
86,Jordan
87,Portugal
88,Hungary
89,South Korea
90,Iceland
91,Guatemala
92,Cuba
93,Bulgaria
94,Liberia
95,Honduras
96,Benin
97,Eritrea
98,Malawi
99,Nicaragua
100,North Korea
101,Greece
102,Tajikistan
103,Nepal
104,Bangladesh
105,Suriname
106,Tunisia
107,Uruguay
108,Cambodia
109,Syria
110,Senegal
111,Kyrgyzstan
112,Belarus
113,Guyana
114,Laos
115,Romania
116,Ghana
117,Uganda
118,United Kingdom
119,Guinea
120,Ecuador
121,Gabon
122,New Zealand
123,Burkina Faso
124,Italy
125,Oman
126,Poland
127,Ivory Coast
128,Malaysia
129,Vietnam
130,Finland
131,Republic of the Congo
132,Philippines
133,Germany
134,Japan
135,Norway
136,Zimbabwe
137,Paraguay
138,Iraq
139,Morocco
140,Sweden
141,Uzbekistan
142,Yemen
143,Papua New Guinea
144,Cameroon
145,Turkmenistan
146,Spain
147,Thailand
148,Kenya
149,Botswana
150,Madagascar
151,Ukraine
152,Central African Republic
153,Somalia
154,France
155,South Sudan
156,Afghanistan
157,Myanmar
158,Zambia
159,Chile
160,Turkey
161,Mozambique
162,Namibia
163,Pakistan
164,Venezuela
165,Nigeria
166,Tanzania
167,Egypt
168,Mauritania
169,Bolivia
170,Ethiopia
171,Colombia
172,South Africa
173,Mali
174,Angola
175,Niger
176,Chad
177,Peru
178,Mongolia
179,Iran
180,Libya
181,Sudan
182,Sudan
183,Indonesia
184,Mexico
185,Denmark
186,Saudi Arabia
187,Democratic Republic of the Congo
188,Algeria
189,Kazakhstan
190,Argentina
191,India
192,Australia
193,Brazil
194,China
195,United States
196,Canada
197,Russia
