Rank,Country
1,"  China"
2,"  United States"
3,"  India"
4,"  Russia"
5,"  Japan"
6,"  Germany"
7,"  Indonesia"
8,"  Brazil"
9,"  France"
10,"  United Kingdom"
11,"  Turkey"
12,"  Italy"
13,"  Mexico"
14,"  South Korea"
15,"  Spain"
16,"  Canada"
17,"  Saudi Arabia"
18,"  Egypt"
19,"  Poland"
20,"  Australia"
21,"  Iran"
22,"  Thailand"
23,"  Vietnam"
24,"  Bangladesh"
25,"  Pakistan"
26,"  Nigeria"
27,"  Netherlands"
28,"  Argentina"
29,"  Malaysia"
30,"  Philippines"
31,"  Colombia"
32,"  South Africa"
33,"  Singapore"
34,"  Romania"
35,"  United Arab Emirates"
36,"  Kazakhstan"
37,"  Belgium"
38,"  Switzerland"
39,"  Algeria"
40,"  Sweden"
41,"  Ireland"
42,"  Chile"
43,"  Iraq"
44,"  Ukraine"
45,"  Austria"
46,"  Czech Republic"
47,"  Peru"
48,"  Norway"
49,"  Israel"
50,"  Portugal"
51,"  Denmark"
52,"  Ethiopia"
53,"  Uzbekistan"
54,"  Greece"
55,"  Hungary"
56,"  Morocco"
57,"  Angola"
58,"  Kenya"
59,"  Qatar"
60,"  Finland"
61,"  Sri Lanka"
62,"  Dominican Republic"
63,"  Myanmar"
64,"  Belarus"
65,"  Ecuador"
66,"  New Zealand"
67,"  Ghana"
68,"  Tanzania"
69,"  Guatemala"
70,"  Azerbaijan"
71,"  Ivory Coast"
72,"  Bulgaria"
73,"  Kuwait"
74,"  Slovakia"
75,"  Oman"
76,"  Venezuela"
77,"  Serbia"
78,"  DR Congo"
79,"  Panama"
80,"  Croatia"
81,"  Uganda"
82,"  Turkmenistan"
83,"  Tunisia"
84,"  Nepal"
85,"  Cameroon"
86,"  Costa Rica"
87,"  Lithuania"
88,"  Cambodia"
89,"  Bolivia"
90,"  Paraguay"
91,"  Syria"
92,"  Jordan"
93,"  Uruguay"
94,"  Libya"
95,"  Slovenia"
96,"  Sudan"
97,"  Georgia"
98,"  Bahrain"
99,"  Senegal"
100,"  Luxembourg"
101,"  Zambia"
102,"  Zimbabwe"
103,"  El Salvador"
104,"  Honduras"
105,"  Latvia"
106,"  Cuba"
107,"  Laos"
108,"  Bosnia and Herzegovina"
109,"  Guyana"
110,"  Guinea"
111,"  Armenia"
112,"  Mongolia"
113,"  Burkina Faso"
114,"  Mali"
115,"  Afghanistan"
116,"  Yemen"
117,"  Benin"
118,"  Estonia"
119,"  Madagascar"
120,"  Nicaragua"
121,"  Kyrgyzstan"
122,"  Lebanon"
123,"  Albania"
124,"  Tajikistan"
125,"  Mozambique"
126,"  Cyprus"
127,"  Niger"
128,"  Rwanda"
129,"  Gabon"
130,"  Chad"
131,"  North Macedonia"
132,"  Botswana"
133,"  Trinidad and Tobago"
134,"  Papua New Guinea"
135,"  Moldova"
136,"  Brunei"
137,"  Malta"
138,"  Malawi"
139,"  Congo"
140,"  Mauritius"
141,"  Mauritania"
142,"  Haiti"
143,"  Namibia"
144,"  Jamaica"
145,"  Togo"
146,"  Equatorial Guinea"
147,"  Sierra Leone"
148,"  Somalia"
149,"  Iceland"
150,"  Montenegro"
151,"  Bahamas"
152,"  Eswatini"
153,"  Fiji"
154,"  North Korea"
155,"  Maldives"
156,"  Suriname"
157,"  Bhutan"
158,"  Burundi"
159,"  Liberia"
160,"  South Sudan"
161,"  Gambia"
162,"  Djibouti"
163,"  Monaco"
164,"  Lesotho"
165,"  Central African Republic"
166,"  Liechtenstein"
167,"  Timor-Leste"
168,"  Barbados"
169,"  Belize"
170,"  Guinea-Bissau"
171,"  Andorra"
172,"  Eritrea"
173,"  Cape Verde"
174,"  Saint Lucia"
175,"  Seychelles"
176,"  Comoros"
177,"  Antigua and Barbuda"
178,"  San Marino"
179,"  Grenada"
180,"  Saint Vincent and the Grenadines"
181,"  Solomon Islands"
182,"  Saint Kitts and Nevis"
183,"  Samoa"
184,"  São Tomé and Príncipe"
185,"  Dominica"
186,"  Vanuatu"
187,"  Tonga"
188,"  Kiribati"
189,"  Micronesia"
190,"  Palau"
191,"  Marshall Islands"
192,"  Nauru"
193,"  Tuvalu"
